step 5180 | loss 2.1753 | step time 3.59ms
step 5190 | loss 2.1693 | step time 2.30ms
step 5200 | loss 2.1796 | step time 3.01ms
step 5210 | loss 2.0674 | step time 3.23ms
step 5220 | loss 2.3020 | step time 2.20ms
step 5230 | loss 2.1120 | step time 2.61ms
step 5240 | loss 2.0358 | step time 2.27ms
step 5250 | loss 2.2101 | step time 2.47ms
step 5260 | loss 2.0039 | step time 2.01ms
step 5270 | loss 2.0140 | step time 2.80ms
step 5280 | loss 2.1251 | step time 2.27ms
step 5290 | loss 2.1844 | step time 2.35ms
step 5300 | loss 2.0610 | step time 1.96ms
step 5310 | loss 1.9215 | step time 2.45ms
step 5320 | loss 2.0891 | step time 2.44ms
step 5330 | loss 2.0459 | step time 2.21ms
step 5340 | loss 2.0564 | step time 2.51ms
step 5350 | loss 2.1327 | step time 2.25ms
step 5360 | loss 2.1420 | step time 2.47ms
step 5370 | loss 1.9954 | step time 2.45ms
step 5380 | loss 2.0629 | step time 2.19ms
step 5390 | loss 2.0458 | step time 2.18ms
step 5400 | loss 2.0885 | step time 2.45ms
step 5410 | loss 2.1811 | step time 2.23ms
step 5420 | loss 1.9687 | step time 2.14ms
step 5430 | loss 2.1678 | step time 2.64ms
step 5440 | loss 2.1700 | step time 2.82ms
step 5450 | loss 1.9940 | step time 2.44ms
step 5460 | loss 1.9836 | step time 2.75ms
step 5470 | loss 2.0799 | step time 2.58ms
step 5480 | loss 2.0849 | step time 2.81ms
step 5490 | loss 2.1395 | step time 2.20ms
step 5500 | loss 2.1045 | step time 2.98ms
step 5500 train loss: 2.0781874656677246 test loss: 2.088155746459961
step 5510 | loss 2.0848 | step time 2.20ms
step 5520 | loss 2.0118 | step time 2.63ms
step 5530 | loss 2.0699 | step time 3.09ms
step 5540 | loss 2.0797 | step time 2.05ms
step 5550 | loss 1.9831 | step time 3.36ms
step 5560 | loss 2.0403 | step time 2.19ms
step 5570 | loss 1.9666 | step time 3.25ms
step 5580 | loss 2.0699 | step time 2.16ms
step 5590 | loss 2.1525 | step time 3.58ms
