step 2170 | loss 2.2280 | step time 11.10ms
step 2180 | loss 2.1930 | step time 11.28ms
step 2190 | loss 2.1415 | step time 11.12ms
step 2200 | loss 2.3620 | step time 11.21ms
step 2210 | loss 2.1150 | step time 11.53ms
step 2220 | loss 2.2346 | step time 11.51ms
step 2230 | loss 2.0686 | step time 11.35ms
step 2240 | loss 2.1987 | step time 11.09ms
step 2250 | loss 2.2604 | step time 11.19ms
step 2260 | loss 2.2340 | step time 11.05ms
step 2270 | loss 2.1044 | step time 11.41ms
step 2280 | loss 2.1571 | step time 11.21ms
step 2290 | loss 2.1846 | step time 11.30ms
step 2300 | loss 2.2234 | step time 11.34ms
step 2310 | loss 2.2229 | step time 11.35ms
step 2320 | loss 2.1480 | step time 11.65ms
step 2330 | loss 2.1099 | step time 11.05ms
step 2340 | loss 2.2339 | step time 10.95ms
step 2350 | loss 2.1002 | step time 11.28ms
step 2360 | loss 2.1361 | step time 11.43ms
step 2370 | loss 2.3075 | step time 11.30ms
step 2380 | loss 2.1328 | step time 11.30ms
step 2390 | loss 2.2106 | step time 11.20ms
step 2400 | loss 2.1176 | step time 11.12ms
step 2410 | loss 2.3080 | step time 11.39ms
step 2420 | loss 2.1578 | step time 11.13ms
step 2430 | loss 2.1118 | step time 11.18ms
step 2440 | loss 2.3455 | step time 11.43ms
step 2450 | loss 2.2110 | step time 11.17ms
step 2460 | loss 2.1224 | step time 11.27ms
step 2470 | loss 2.1234 | step time 11.44ms
step 2480 | loss 2.0510 | step time 11.36ms
step 2490 | loss 2.1792 | step time 11.24ms
step 2500 | loss 2.1392 | step time 11.10ms
step 2500 train loss: 2.179558038711548 test loss: 2.162050485610962
test loss 2.162050485610962 is the best so far, saving model to Transformer/model.pt
step 2510 | loss 2.0918 | step time 11.28ms
step 2520 | loss 2.0912 | step time 11.27ms
step 2530 | loss 2.1451 | step time 11.31ms
step 2540 | loss 2.2269 | step time 11.25ms
step 2550 | loss 1.9777 | step time 11.36ms
step 2560 | loss 2.1550 | step time 11.35ms
step 2570 | loss 2.1065 | step time 11.15ms
step 2580 | loss 2.1477 | step time 10.83ms
step 2590 | loss 2.1525 | step time 11.44ms
step 2600 | loss 2.2316 | step time 11.43ms
step 2610 | loss 2.0524 | step time 11.45ms
step 2620 | loss 2.1639 | step time 11.52ms
step 2630 | loss 2.0834 | step time 11.08ms
step 2640 | loss 2.1160 | step time 11.25ms
step 2650 | loss 2.1875 | step time 11.01ms
step 2660 | loss 2.1690 | step time 11.14ms
step 2670 | loss 2.1539 | step time 11.39ms
step 2680 | loss 2.1659 | step time 11.35ms
step 2690 | loss 2.2344 | step time 11.38ms
