step 3630 | loss 2.6052 | step time 0.39ms
step 3640 | loss 2.5939 | step time 0.35ms
step 3650 | loss 2.5909 | step time 0.34ms
step 3660 | loss 2.5507 | step time 0.42ms
step 3670 | loss 2.5215 | step time 0.41ms
step 3680 | loss 2.5781 | step time 0.33ms
step 3690 | loss 2.5462 | step time 0.47ms
step 3700 | loss 2.5598 | step time 0.31ms
step 3710 | loss 2.5004 | step time 0.36ms
step 3720 | loss 2.5568 | step time 0.36ms
step 3730 | loss 2.5818 | step time 0.36ms
step 3740 | loss 2.5768 | step time 0.36ms
step 3750 | loss 2.5163 | step time 0.33ms
step 3760 | loss 2.6065 | step time 0.33ms
step 3770 | loss 2.5674 | step time 0.34ms
step 3780 | loss 2.4952 | step time 0.33ms
step 3790 | loss 2.5753 | step time 0.37ms
step 3800 | loss 2.5441 | step time 0.35ms
step 3810 | loss 2.5192 | step time 0.34ms
step 3820 | loss 2.5726 | step time 0.35ms
step 3830 | loss 2.5378 | step time 0.34ms
step 3840 | loss 2.5711 | step time 0.34ms
step 3850 | loss 2.6052 | step time 0.35ms
step 3860 | loss 2.5906 | step time 0.35ms
step 3870 | loss 2.5649 | step time 0.47ms
step 3880 | loss 2.5729 | step time 0.37ms
step 3890 | loss 2.5143 | step time 0.42ms
step 3900 | loss 2.5631 | step time 0.32ms
step 3910 | loss 2.5599 | step time 0.44ms
step 3920 | loss 2.5270 | step time 0.34ms
step 3930 | loss 2.6180 | step time 0.33ms
step 3940 | loss 2.5388 | step time 0.33ms
step 3950 | loss 2.5179 | step time 0.32ms
step 3960 | loss 2.5858 | step time 0.44ms
step 3970 | loss 2.5641 | step time 0.45ms
step 3980 | loss 2.5527 | step time 0.34ms
step 3990 | loss 2.5549 | step time 0.35ms
step 4000 | loss 2.5479 | step time 0.38ms
step 4000 train loss: 2.5322561264038086 test loss: 2.5388505458831787
test loss 2.5388505458831787 is the best so far, saving model to Bigram/model.pt
step 4010 | loss 2.5896 | step time 0.34ms
step 4020 | loss 2.5727 | step time 0.33ms
step 4030 | loss 2.5476 | step time 0.31ms
step 4040 | loss 2.5466 | step time 0.32ms
step 4050 | loss 2.4261 | step time 0.55ms
step 4060 | loss 2.4755 | step time 0.26ms
step 4070 | loss 2.5715 | step time 0.30ms
step 4080 | loss 2.5468 | step time 0.33ms
step 4090 | loss 2.5385 | step time 0.26ms
step 4100 | loss 2.5945 | step time 0.31ms
step 4110 | loss 2.6115 | step time 0.33ms
step 4120 | loss 2.5252 | step time 0.31ms
step 4130 | loss 2.6324 | step time 0.33ms
step 4140 | loss 2.5289 | step time 0.32ms
step 4150 | loss 2.5196 | step time 0.33ms
step 4160 | loss 2.5291 | step time 0.41ms
step 4170 | loss 2.6108 | step time 0.31ms
step 4180 | loss 2.5849 | step time 0.31ms
step 4190 | loss 2.4587 | step time 0.32ms
step 4200 | loss 2.5266 | step time 0.27ms
step 4210 | loss 2.5887 | step time 0.31ms
step 4220 | loss 2.5974 | step time 0.31ms
step 4230 | loss 2.5520 | step time 0.33ms
step 4240 | loss 2.5321 | step time 0.25ms
step 4250 | loss 2.4472 | step time 0.26ms
step 4260 | loss 2.5091 | step time 0.32ms
step 4270 | loss 2.4098 | step time 0.32ms
step 4280 | loss 2.5903 | step time 0.33ms
step 4290 | loss 2.4865 | step time 0.38ms
step 4300 | loss 2.4975 | step time 0.35ms
step 4310 | loss 2.4819 | step time 0.34ms
step 4320 | loss 2.5294 | step time 0.33ms
step 4330 | loss 2.4704 | step time 0.41ms
step 4340 | loss 2.4680 | step time 0.34ms
step 4350 | loss 2.4955 | step time 0.39ms
step 4360 | loss 2.5222 | step time 0.36ms
step 4370 | loss 2.5463 | step time 0.33ms
step 4380 | loss 2.4969 | step time 0.37ms
step 4390 | loss 2.5870 | step time 0.33ms
step 4400 | loss 2.5753 | step time 0.42ms
step 4410 | loss 2.5682 | step time 0.47ms
step 4420 | loss 2.5617 | step time 0.34ms
step 4430 | loss 2.4940 | step time 0.33ms
step 4440 | loss 2.5254 | step time 0.33ms
step 4450 | loss 2.5375 | step time 0.32ms
step 4460 | loss 2.5414 | step time 0.42ms
step 4470 | loss 2.5669 | step time 0.35ms
step 4480 | loss 2.4967 | step time 0.40ms
step 4490 | loss 2.5070 | step time 0.33ms
step 4500 | loss 2.5549 | step time 0.35ms
step 4500 train loss: 2.5322020053863525 test loss: 2.516486406326294
test loss 2.516486406326294 is the best so far, saving model to Bigram/model.pt
step 4510 | loss 2.4659 | step time 0.31ms
step 4520 | loss 2.4922 | step time 0.32ms
step 4530 | loss 2.5302 | step time 0.34ms
step 4540 | loss 2.5217 | step time 0.35ms
step 4550 | loss 2.5065 | step time 0.32ms
step 4560 | loss 2.4142 | step time 0.34ms
step 4570 | loss 2.4980 | step time 0.41ms
step 4580 | loss 2.5048 | step time 0.41ms
step 4590 | loss 2.5458 | step time 0.36ms
step 4600 | loss 2.5018 | step time 0.33ms
step 4610 | loss 2.4830 | step time 0.35ms
step 4620 | loss 2.4989 | step time 0.35ms
step 4630 | loss 2.5655 | step time 0.40ms
step 4640 | loss 2.4920 | step time 0.32ms
step 4650 | loss 2.4311 | step time 0.33ms
step 4660 | loss 2.5562 | step time 0.32ms
step 4670 | loss 2.5179 | step time 0.34ms
step 4680 | loss 2.5617 | step time 0.33ms
step 4690 | loss 2.5422 | step time 0.34ms
step 4700 | loss 2.5904 | step time 0.38ms
step 4710 | loss 2.5413 | step time 0.32ms
step 4720 | loss 2.4828 | step time 0.42ms
step 4730 | loss 2.5365 | step time 0.32ms
step 4740 | loss 2.4919 | step time 0.39ms
step 4750 | loss 2.5226 | step time 0.39ms
step 4760 | loss 2.4814 | step time 0.32ms
step 4770 | loss 2.5333 | step time 0.32ms
step 4780 | loss 2.6124 | step time 0.32ms
step 4790 | loss 2.4964 | step time 0.31ms
step 4800 | loss 2.5897 | step time 0.35ms
step 4810 | loss 2.5798 | step time 0.39ms
step 4820 | loss 2.5157 | step time 0.35ms
step 4830 | loss 2.5357 | step time 0.39ms
step 4840 | loss 2.5144 | step time 0.41ms
step 4850 | loss 2.5742 | step time 0.33ms
step 4860 | loss 2.4734 | step time 0.34ms
step 4870 | loss 2.5679 | step time 0.41ms
step 4880 | loss 2.4638 | step time 0.33ms
step 4890 | loss 2.5204 | step time 0.36ms
step 4900 | loss 2.4639 | step time 0.44ms
step 4910 | loss 2.5804 | step time 0.32ms
step 4920 | loss 2.4919 | step time 0.36ms
step 4930 | loss 2.4342 | step time 0.36ms
step 4940 | loss 2.5347 | step time 0.40ms
step 4950 | loss 2.4405 | step time 0.34ms
step 4960 | loss 2.5087 | step time 0.35ms
step 4970 | loss 2.4190 | step time 0.34ms
step 4980 | loss 2.5092 | step time 0.40ms
step 4990 | loss 2.6072 | step time 0.34ms
step 5000 | loss 2.5217 | step time 0.32ms
step 5000 train loss: 2.5114471912384033 test loss: 2.5008766651153564
test loss 2.5008766651153564 is the best so far, saving model to Bigram/model.pt
step 5010 | loss 2.5264 | step time 0.33ms
step 5020 | loss 2.4671 | step time 0.34ms
step 5030 | loss 2.4499 | step time 0.42ms
step 5040 | loss 2.5858 | step time 0.48ms
step 5050 | loss 2.5293 | step time 0.35ms
step 5060 | loss 2.6011 | step time 0.37ms
step 5070 | loss 2.4565 | step time 0.32ms
step 5080 | loss 2.5030 | step time 0.33ms
step 5090 | loss 2.4916 | step time 0.33ms
step 5100 | loss 2.4682 | step time 0.37ms
step 5110 | loss 2.4794 | step time 0.45ms
step 5120 | loss 2.5451 | step time 0.32ms
step 5130 | loss 2.4532 | step time 0.31ms
step 5140 | loss 2.5297 | step time 0.34ms
step 5150 | loss 2.4644 | step time 0.42ms
step 5160 | loss 2.4514 | step time 0.39ms
step 5170 | loss 2.5641 | step time 0.34ms
step 5180 | loss 2.5452 | step time 0.34ms
step 5190 | loss 2.5310 | step time 0.33ms
step 5200 | loss 2.5675 | step time 0.35ms
step 5210 | loss 2.5605 | step time 0.33ms
step 5220 | loss 2.5329 | step time 0.35ms
step 5230 | loss 2.5058 | step time 0.42ms
step 5240 | loss 2.5422 | step time 0.32ms
step 5250 | loss 2.4240 | step time 0.35ms
step 5260 | loss 2.5915 | step time 0.34ms
step 5270 | loss 2.4677 | step time 0.32ms
step 5280 | loss 2.4730 | step time 0.35ms
step 5290 | loss 2.5090 | step time 0.35ms
step 5300 | loss 2.4803 | step time 0.36ms
step 5310 | loss 2.4807 | step time 0.33ms
step 5320 | loss 2.4974 | step time 0.38ms
step 5330 | loss 2.5559 | step time 0.36ms
step 5340 | loss 2.5828 | step time 0.34ms
step 5350 | loss 2.4438 | step time 0.35ms
step 5360 | loss 2.5761 | step time 0.37ms
step 5370 | loss 2.5180 | step time 0.32ms
step 5380 | loss 2.4340 | step time 0.39ms
step 5390 | loss 2.5651 | step time 0.34ms
step 5400 | loss 2.4436 | step time 0.33ms
step 5410 | loss 2.4678 | step time 0.37ms
step 5420 | loss 2.5090 | step time 0.43ms
step 5430 | loss 2.4956 | step time 0.33ms
step 5440 | loss 2.4450 | step time 0.33ms
step 5450 | loss 2.4906 | step time 0.36ms
step 5460 | loss 2.5681 | step time 0.34ms
step 5470 | loss 2.5459 | step time 0.35ms
step 5480 | loss 2.4404 | step time 0.33ms
step 5490 | loss 2.5520 | step time 0.35ms
step 5500 | loss 2.4567 | step time 0.39ms
step 5500 train loss: 2.4981908798217773 test loss: 2.488487482070923
test loss 2.488487482070923 is the best so far, saving model to Bigram/model.pt
step 5510 | loss 2.4777 | step time 0.31ms
step 5520 | loss 2.4912 | step time 0.32ms
step 5530 | loss 2.5042 | step time 0.40ms
step 5540 | loss 2.5532 | step time 0.35ms
step 5550 | loss 2.5124 | step time 0.45ms
step 5560 | loss 2.5379 | step time 0.40ms
